name,type,value,date
上海,,272.81,1978
北京,,108.8,1978
天津,,82.65,1978
重庆,,67.32,1978
长春,,51.2,1978
哈尔滨,,45.7,1978
沈阳,,44,1978
广州,,43.09,1978
大连,,42,1978
武汉,,39.91,1978
香港,,1117,1979
上海,,286,1979
北京,,120,1979
天津,,93,1979
重庆,,80.98,1979
沈阳,,49.6,1979
广州,,48,1979
武汉,,46.2,1979
大连,,43.8,1979
青岛,,43.6,1979
Ps：深圳,,1.9,1979
香港,,1422,1980
上海,,311,1980
北京,,139,1980
天津,,103.5,1980
重庆,,91,1980
广州,,57,1980
沈阳,,58,1980
武汉,,53,1980
青岛,,49,1980
大连,,48,1980
Ps：深圳,,2.7,1980
香港,,1712,1981
上海,,324,1981
北京,,139,1981
天津,,108,1981
重庆,,97,1981
广州,,63,1981
沈阳,,61,1981
武汉,,56,1981
青岛,,52,1981
大连,,51,1981
Ps：深圳,,5,1981
香港,,1930,1982
上海,,337,1982
北京,,155,1982
天津,,114,1982
重庆,,108,1982
广州,,72,1982
武汉,,63,1982
沈阳,,61,1982
成都,,55,1982
青岛,,52,1982
Ps：深圳,,8,1982
香港,,2134,1983
上海,,352,1983
北京,,183.1,1983
天津,,123,1983
重庆,,120,1983
广州,,79,1983
沈阳,,73,1983
武汉,,69,1983
成都,,63,1983
哈尔滨,,59,1983
Ps：深圳,,13,1983
香港,,2574,1984
上海,,391,1984
北京,,217,1984
天津,,148,1984
重庆,,142,1984
广州,,97,1984
沈阳,,93,1984
武汉,,84,1984
青岛,,72,1984
成都,,71,1984
Ps：深圳,,23.4,1984
香港,,2728,1985
上海,,467,1985
北京,,257,1985
天津,,176,1985
重庆,,164,1985
广州,,124,1985
沈阳,,112,1985
武汉,,97,1985
苏州,,92,1985
杭州,,90,1985
Ps：深圳,,39,1985
香港,,3140,1986
上海,,491,1986
北京,,285,1986
天津,,195,1986
重庆,,185,1986
广州,,139,1986
沈阳,,126,1986
武汉,,106,1986
杭州,,105,1986
苏州,,104,1986
Ps：深圳,,42,1986
香港,,3863,1987
上海,,545,1987
北京,,327,1987
天津,,220,1987
重庆,,207,1987
广州,,173,1987
沈阳,,155,1987
杭州,,126,1987
武汉,,125,1987
成都,,116,1987
Ps：深圳,,56,1987
香港,,4572,1988
上海,,648,1988
北京,,410,1988
重庆,,261,1988
天津,,260,1988
广州,,240,1988
沈阳,,194,1988
苏州,,165,1988
武汉,,156,1988
杭州,,153,1988
Ps：深圳,,82,1988
香港,,5207,1989
上海,,697,1989
北京,,456,1989
重庆,,303,1989
广州,,287,1989
天津,,283,1989
沈阳,,217,1989
苏州,,176,1989
武汉,,169,1989
杭州,,166,1989
Ps：深圳,,116,1989
香港,,5876,1990
上海,,756,1990
北京,,501,1990
重庆,,328,1990
广州,,319,1990
天津,,311,1990
沈阳,,235,1990
苏州,,202,1990
成都,,194,1990
杭州,,190,1990
Ps：深圳,,172,1990
香港,,6772,1991
上海,,893,1991
北京,,599,1991
广州,,386,1991
重庆,,374,1991
天津,,342,1991
沈阳,,286,1991
成都,,237,1991
深圳,,236,1991
大连,,233,1991
杭州,,228,1991
香港,,7913,1992
上海,,1114,1992
北京,,709,1992
广州,,510,1992
重庆,,461,1992
天津,,411,1992
深圳,,317,1992
无锡,,304,1992
成都,,301,1992
杭州,,290,1992
香港,,9128,1993
上海,,1511,1993
北京,,886,1993
广州,,744,1993
重庆,,609,1993
天津,,539,1993
深圳,,449,1993
无锡,,441,1993
杭州,,425,1993
成都,,419,1993
青岛,,372,1993
香港,,10297,1994
上海,,1972,1994
北京,,1145,1994
广州,,985,1994
重庆,,834,1994
天津,,733,1994
深圳,,615,1994
无锡,,607,1994
沈阳,,603,1994
杭州,,586,1994
成都,,558,1994
香港,,10962,1995
上海,,2562,1995
北京,,1507,1995
广州,,1259,1995
重庆,,1123,1995
天津,,932,1995
苏州,,903,1995
深圳,,796,1995
杭州,,762,1995
无锡,,761,1995
成都,,714,1995
香港,,12109,1996
上海,,2957,1996
北京,,1789,1996
广州,,1468,1996
重庆,,1315,1996
天津,,1122,1996
苏州,,1002,1996
深圳,,950,1996
杭州,,907,1996
无锡,,870,1996
成都,,869,1996
香港,,13445,1997
上海,,3438,1997
北京,,2075,1997
广州,,1678,1997
重庆,,1509,1997
深圳,,1297,1997
天津,,1264,1997
苏州,,1132,1997
杭州,,1036,1997
成都,,1007,1997
无锡,,960,1997
香港,,12798,1998
上海,,3801,1998
北京,,2376,1998
广州,,1893,1998
重庆,,1602,1998
深圳,,1534,1998
天津,,1374,1998
苏州,,1250,1998
杭州,,1135,1998
成都,,1102,1998
无锡,,1052,1998
香港,,12446,1999
上海,,4188,1999
北京,,2677,1999
广州,,2177,1999
